,token_id,rule_name,rule_description,posterior,prior_accuracy,posterior_accuracy,prior_feedback,posterior_feedback,prior_fit,post_fit,correct_init,correct_revised,,u_init,u_rev,,o_init,o_rev,,d_init,d_rev,,n_init,n_rev
44,QgoZL,Iota,one is blue,"[False, True, False, False, True, True, True, False]",0.75,0.25,There must be all three colors and five or less cones.,"There has to either be one of each color cone, or there has to be a green or red cone touching the blue one.",d,d,0,0,,0,0,,0,0,,1,1,,0,0
45,4hBLT,Iota,one is blue,"[True, True, True, True, False, False, False, False]",0.625,1,There must be at least one blue cone.,There must be exactly one blue cone.,u,c,0,1,,1,0,,0,0,,0,0,,0,0
46,4hBLT,Kappa,at least one is blue AND small,"[True, True, True, True, False, False, False, False]",0.875,1,There must be at least one small blue cone.,There must be at least one small blue cone.,c,c,1,1,,0,0,,0,0,,0,0,,0,0
47,4hBLT,Omega,all are blue OR small,"[False, True, True, True, False, True, True, False]",0.625,0.625,There must be at least one small cone of any color.,There must be at least one blue cone of any size.,u,u,0,0,,1,1,,0,0,,0,0,,0,0
48,4hBLT,Upsilon,none are upright,"[True, False, True, False, True, False, False, False]",0.625,0.625,There has to be two red cones touching each other on their sides.,There needs to be two of the same size cones laying on each other's sides.,d,d,0,0,,0,0,,0,0,,1,1,,0,0
49,4hBLT,Zeta,there is a red,"[True, True, True, True, False, False, False, False]",1,1,There must be at least one red cone of any size.,There must be at least one red cone of any size.,c,c,1,1,,0,0,,0,0,,0,0,,0,0
50,FjM03,Omega,all are blue OR small,"[False, False, False, False, False, True, False, False]",0.375,0.375,nice and good rules i have ever seen,nice rules wiyh good understanding,n,n,0,0,,0,0,,0,0,,0,0,,1,1
51,FjM03,Iota,one is blue,"[False, False, False, False, False, True, False, False]",0.625,0.375,nice and entertaining,yes it is good according to me,n,n,0,0,,0,0,,0,0,,0,0,,1,1
52,FjM03,Zeta,there is a red,"[False, False, False, False, False, True, False, False]",0.375,0.375,nice and understanding,it is good for me,n,n,0,0,,0,0,,0,0,,0,0,,1,1
53,FjM03,Kappa,at least one is blue AND small,"[False, False, False, False, False, True, False, False]",0.375,0.375,nice and good for me,nice and better,n,n,0,0,,0,0,,0,0,,0,0,,1,1
54,FjM03,Upsilon,none are upright,"[False, False, False, False, False, True, False, False]",0.375,0.375,nice and good for me,yes it is true for me,n,n,0,0,,0,0,,0,0,,0,0,,1,1
55,tGNdP,Upsilon,none are upright,"[True, False, False, False, False, False, True, False]",0.75,0.5,As long as one or more objects are touching then it will emit radiation.,I feel as though the rule may be as long as there are two reds touching and one other random cone then it will emit radiation.,n,n,0,0,,0,0,,0,0,,0,0,,1,1
56,tGNdP,Kappa,at least one is blue AND small,"[True, True, True, True, False, True, False, False]",0.75,0.875,I think you have to have a small blue cone and at least have one other cone bigger than the small blue one.,I think it's definitely having a smaller blue cone than one of the other cones that are on the screen.,o,c,0,1,,0,0,,1,0,,0,0,,0,0
57,tGNdP,Omega,all are blue OR small,"[False, False, False, False, False, True, True, False]",0.375,0.25,I think as long as a smaller green triangle is touching a blue triangle then it emits radiation.,I'm a little lost on this one but I think as long as there is a large blue cone touching another smaller cone of any color then it should emit radiation.,d,d,0,0,,0,0,,0,0,,1,1,,0,0
58,tGNdP,Zeta,there is a red,"[True, True, True, True, False, False, False, False]",1,1,As long as a red cone is touching another cone it will emit radiation.,As long as there is at least one red cone then it will emit radiation.,d,c,0,1,,0,0,,0,0,,1,0,,0,0
59,tGNdP,Iota,one is blue,"[True, True, True, True, False, False, False, False]",0.625,1,As long as there is a blue triangle then it will emit radiation.,There can be one and only one blue cone on the screen to emit radiation.,u,c,0,1,,1,0,,0,0,,0,0,,0,0
60,3x2t1,Upsilon,none are upright,"[True, True, False, True, True, False, False, False]",0.625,0.75,One or more small objects that are not standing straight up.,One or more Small objects that are not standing straight up.,d,d,0,0,,0,0,,0,0,,1,1,,0,0
61,3x2t1,Iota,one is blue,"[False, False, True, True, False, False, False, False]",0.75,0.75,One or more Blue objects standing straight up.,Exactly one blue object standing straight up.,d,o,0,0,,0,0,,0,1,,1,0,,0,0
62,3x2t1,Zeta,there is a red,"[True, True, True, True, False, False, False, False]",0.75,1,One or more red objects facing straight up.,At least one red object must be present and at least one object must be facing straight up.,o,o,0,0,,0,0,,1,1,,0,0,,0,0
63,3x2t1,Omega,all are blue OR small,"[True, True, True, True, False, False, False, False]",0.625,1,If a red object is present it cannot be bigger than any other piece.,"Radiation is emitted if there are no red objects or if there are any, they are the smallest size.",d,d,0,0,,0,0,,0,0,,1,1,,0,0
64,3x2t1,Kappa,at least one is blue AND small,"[True, True, True, False, True, True, False, True]",0.125,0.5,There needs to be at least one object of each size.,There must be at least 3 objects of either blue or green.,d,d,0,0,,0,0,,0,0,,1,1,,0,0
65,HSmD4,Iota,one is blue,"[True, True, True, True, False, False, False, False]",1,1,There has to be only one blue triangle,There has to be one and only one blue triangle,c,c,1,1,,0,0,,0,0,,0,0,,0,0
66,HSmD4,Kappa,at least one is blue AND small,"[True, True, True, True, False, False, False, False]",1,1,There has to be a small blue triangle,There has to be at least one small blue triangle,c,c,1,1,,0,0,,0,0,,0,0,,0,0
67,HSmD4,Omega,all are blue OR small,"[True, True, True, True, False, True, True, False]",0.75,0.75,There has to be either a small triangle or a blue medium triangle.,There has to be only small triangles or a blue triangle,d,c,0,1,,0,0,,0,0,,1,0,,0,0
68,HSmD4,Zeta,there is a red,"[True, True, True, True, False, False, False, False]",1,1,There has to be at least one red triangle,There has to be at least one red triangle,c,c,1,1,,0,0,,0,0,,0,0,,0,0
69,HSmD4,Upsilon,none are upright,"[False, False, True, False, False, False, False, True]",0.625,0.5,There has to be at least one triangle on its side,There has to be at least one triangle on its side and no other triangle standing upright,u,o,0,0,,1,0,,0,1,,0,0,,0,0
70,CLwdn,Kappa,at least one is blue AND small,"[False, False, False, True, True, False, True, False]",0.625,0.375,This is to be very clear and easy to arrange the kappa's,It is very easy to arrange the kappa's,n,n,0,0,,0,0,,0,0,,0,0,,1,1
71,CLwdn,Omega,all are blue OR small,"[True, False, False, False, True, True, False, True]",0.75,0.25,Very clear to arrange the kappa,It is easy to create this arrangement,n,n,0,0,,0,0,,0,0,,0,0,,1,1
72,CLwdn,Iota,one is blue,"[False, True, False, False, False, False, True, False]",0.75,0.5,Easy to arrange it,Good to arrange this kappa,n,n,0,0,,0,0,,0,0,,0,0,,1,1
73,CLwdn,Upsilon,none are upright,"[False, True, True, True, False, False, False, True]",0.25,0.75,It is little bit harder to complete this,IT is difficult to complete this arrangement,n,n,0,0,,0,0,,0,0,,0,0,,1,1
74,CLwdn,Zeta,there is a red,"[False, False, True, False, True, False, True, True]",0.75,0.25,Good to complete this arrangement,Good to complete this arrangement,n,n,0,0,,0,0,,0,0,,0,0,,1,1
75,seghl,Kappa,at least one is blue AND small,"[False, False, False, False, True, False, False, False]",0.625,0.375,mainly blue and green with green bigger than blue,green bigger than the blue,d,d,0,0,,0,0,,0,0,,1,1,,0,0
76,seghl,Iota,one is blue,"[True, False, False, False, False, False, False, False]",0.625,0.625,little green triangles,There has to be a little green triangle,d,d,0,0,,0,0,,0,0,,1,1,,0,0
77,seghl,Upsilon,none are upright,"[False, False, True, False, False, False, False, False]",0.375,0.625,I have no idea at all ,they have to be laying on their sides,n,c,0,1,,0,0,,0,0,,0,0,,1,0
78,seghl,Zeta,there is a red,"[False, False, False, False, False, False, True, False]",0.375,0.375,There must be some stacked on each other,There needs to be one stacked ,d,d,0,0,,0,0,,0,0,,1,1,,0,0
79,seghl,Omega,all are blue OR small,"[False, True, False, False, False, False, False, False]",0.375,0.625,There needs to be 2 green and a blue,There needs to be 2 green for a blue,d,d,0,0,,0,0,,0,0,,1,1,,0,0
80,9cMOT,Zeta,there is a red,"[False, True, False, False, False, False, False, False]",0.625,0.625,There must be at least one red cone,cannot think of any other rule that could be true,c,c,1,1,,0,0,,0,0,,0,0,,0,0
81,9cMOT,Omega,all are blue OR small,"[False, False, True, False, False, False, False, False]",0.625,0.625,There must be at least one blue or green cone,There must be at least one small cone,d,u,0,0,,0,1,,0,0,,1,0,,0,0
82,9cMOT,Upsilon,none are upright,"[False, False, False, True, False, False, False, False]",0.625,0.625,cannot think of any rule that could be true,There must be at least two cones pointing at each other,n,d,0,0,,0,0,,0,0,,0,1,,1,0
83,9cMOT,Iota,one is blue,"[False, False, False, False, False, False, True, False]",0.375,0.375,There must be at least but no more than two cones touching,cannot think of any rule that could be true,d,n,0,0,,0,0,,0,0,,1,0,,0,1
84,9cMOT,Kappa,at least one is blue AND small,"[False, True, False, False, False, False, False, False]",0.375,0.625,There must be at least one red large cone ,There has to be at least one green cone larger than any blue cone ,d,d,0,0,,0,0,,0,0,,1,1,,0,0
85,jUCAC,Zeta,there is a red,"[False, True, False, False, False, False, False, False]",0.625,0.625,there must be atleast one red cone and no blue cones.,There must be atleast one red cone,o,c,0,1,,0,0,,1,0,,0,0,,0,0
86,jUCAC,Omega,all are blue OR small,"[False, False, False, True, False, False, False, False]",0.375,0.625,There has to be atleast one cone touching a blue cone.,There must be atleast one blue cone and it has to be touched by a smaller cone.,d,d,0,0,,0,0,,0,0,,1,1,,0,0
87,jUCAC,Upsilon,none are upright,"[False, False, True, False, False, False, False, False]",0.625,0.625,No more than two red cones should be touching,There has to be two red cones touching each other with one leaning to the right.,d,d,0,0,,0,0,,0,0,,1,1,,0,0
88,jUCAC,Iota,one is blue,"[False, True, False, False, False, False, False, False]",0.625,0.625,There has to be three different colored cones.,Red cones are not neccesary but atleast two cones have to touch.,d,d,0,0,,0,0,,0,0,,1,1,,0,0
89,jUCAC,Kappa,at least one is blue AND small,"[False, False, False, False, True, False, False, False]",0.625,0.375,One cone has to be over another but it cant be a red cone.,One cone does not have to be over another but atleast one cone must touch the other,d,d,0,0,,0,0,,0,0,,1,1,,0,0
90,6jBfW,Upsilon,none are upright,"[False, True, False, True, False, False, False, False]",0.625,0.75,"There must be at least 1 red cone and 1 blue cone, and the red cone must be larger than the blue. All cones need to be tilted. ",There must be at least 2 red cones and 1 blue cone and the red cones must be larger. All cones must also be tilted. ,o,o,0,0,,0,0,,1,1,,0,0,,0,0
91,6jBfW,Omega,all are blue OR small,"[False, False, False, True, False, False, False, False]",0.625,0.625,There must be at least one blue cone and it has to be larger than any other cone placed with it. The blue cone must remain upright. ,There must be at least 1 blue cone and it must be the largest cone. The bone cone must remain upright. ,d,d,0,0,,0,0,,0,0,,1,1,,0,0
92,6jBfW,Iota,one is blue,"[False, True, False, True, False, False, False, False]",0.625,0.75,There must be at least 1 red cone and it must be the largest. More than 1 blue cone is not permitted and a total of more than 4 cones is not permitted. ,There must be at 1 blue cone (more than 1 blue cone is no permitted). More than 4 cones are not allowed at once. ,d,o,0,0,,0,0,,0,1,,1,0,,0,0
93,6jBfW,Kappa,at least one is blue AND small,"[False, True, False, False, True, False, True, False]",0.625,0.375,There must be at least 4 cones. There needs to be a variation in size. ,"There must be at least 4 cones. There needs to be a variation in size, but blue is not allowed to be the largest cone. ",d,d,0,0,,0,0,,0,0,,1,1,,0,0
94,6jBfW,Zeta,there is a red,"[True, True, True, True, True, False, True, True]",0.625,0.625,I can find no rule here. ,There is no rule to be had here. It's a free-for-all. ,n,n,0,0,,0,0,,0,0,,0,0,,1,1
95,P7FU1,Kappa,at least one is blue AND small,"[False, False, False, False, False, False, True, False]",0.25,0.375,There must be at least one large green triangle.,There must be a green triangle and all triangles must be upright.,d,d,0,0,,0,0,,0,0,,1,1,,0,0
96,P7FU1,Iota,one is blue,"[False, False, True, False, True, True, True, False]",0.375,0.25,Two large triangles must be touching.,A triangle must be touching a blue triangle.,d,d,0,0,,0,0,,0,0,,1,1,,0,0
97,P7FU1,Upsilon,none are upright,"[True, False, True, False, False, False, True, False]",0.625,0.625,Same colored triangles must be touching and tilted.,Two triangles of the same color must be tilted and touching.,d,d,0,0,,0,0,,0,0,,1,1,,0,0
98,P7FU1,Zeta,there is a red,"[True, True, True, True, False, False, False, False]",0.625,1,Triangles must be touching red triangle,Triangles must be touching a red colored triangle at all times,d,d,0,0,,0,0,,0,0,,1,1,,0,0
99,P7FU1,Omega,all are blue OR small,"[False, True, True, False, False, False, False, False]",0.625,0.75,There must be only two colors at max present,Blue triangle must be present,d,u,0,0,,0,1,,0,0,,1,0,,0,0
100,HMsR4,Omega,all are blue OR small,"[False, True, True, True, True, False, False, True]",0.375,0.625,There must be at least one large sized blue colored cone and/or one small sized green colored cone in order for Omega waves to be emitted. Orientation of the cones does not seem to matter.,"1) Cones colored either blue or green can emit Omega radiation as long as they are not touched by a red colored cone.
2) Orientation of individual, separate blue or green cones does not affect the emission of Omega radiation.
3) It is possible to block the Omega radiation of a blue cone by placing a smaller green cone on top of it, acting as a cap. Conversely, placing a large blue cone over a smaller green cone does not affect the emission of Omega radiation.",d,d,0,0,,0,0,,0,0,,1,1,,0,0
101,HMsR4,Kappa,at least one is blue AND small,"[True, True, True, True, False, False, False, False]",1,1,Kappa radiation is emitted by only small sized blue cones.,Small blue cones emit Kappa radiation regardless of orientation or if touched by another cone color. A small blue cone could be completely encapsulated by another colored cone and it will still emit Kappa radiation. ,c,c,1,1,,0,0,,0,0,,0,0,,0,0
102,HMsR4,Iota,one is blue,"[True, True, True, True, True, True, True, False]",0.25,0.625,"Red and blue cones, of any size, when placed together and touching will emit Iota radiation. This occurs even when another larger green cone is placed over the group.",Iota radiation is emitted as long as there is a blue cone of any size within a scene. ,d,u,0,0,,0,1,,0,0,,1,0,,0,0
103,HMsR4,Zeta,there is a red,"[True, True, True, True, False, False, False, False]",1,1,Red cones of any size emit Zeta radiation regardless if they are touched by other colored cones and in any position.,Red cones of any size emit Zeta radiation regardless if they are touched by other colored cones and in any position. Neither blue nor green cones alone or in groups emit Zeta radiation. Neither blue nor green cones can impede the radiation of a red cone's Zeta radiation even if the red cone is completely encapsulated by the other cones.,c,c,1,1,,0,0,,0,0,,0,0,,0,0
104,HMsR4,Upsilon,none are upright,"[True, False, False, False, False, False, True, False]",0.5,0.5,"1) The presence of at least one small sized blue cone emit Upsilon radiation regardless of position.
2) The presence of at least one medium sized red cones emit Upsilon radiation regardless of position.
3) Large red cones can emit Upsilon radiation when touching but individually do not emit Upsilon radiation.","1) The presence of one small sized blue cone emits Upsilon radiation regardless of position as long as no green cones are present.
2) The presence of one medium sized red cone emits Upsilon radiation regardless of position. However, if touched by another medium sized red cone, no Upsilon radiation is emitted.
3) Large red cones can emit Upsilon radiation when touching but individually do not emit Upsilon radiation.",d,d,0,0,,0,0,,0,0,,1,1,,0,0
105,uR94z,Upsilon,none are upright,"[False, False, False, True, False, False, False, False]",0.625,0.625,There must be at least two reds touching and one of the smallest blue ones,THere must be at least two large reds touching and at least one of the smallest blues,d,d,0,0,,0,0,,0,0,,1,1,,0,0
106,uR94z,Kappa,at least one is blue AND small,"[True, True, True, False, False, False, False, False]",0.375,0.875,There must be at least one small blue and one small green,There must be at least one small blue and at least one green,o,o,0,0,,0,0,,1,1,,0,0,,0,0
107,uR94z,Omega,all are blue OR small,"[False, False, False, True, True, False, False, False]",0.375,0.5,Exactly two greens and only one blue...no other colors allowed,At least two small of any color with one of any color larger than those.,d,d,0,0,,0,0,,0,0,,1,1,,0,0
108,uR94z,Iota,one is blue,"[False, True, True, True, False, False, False, False]",0.75,0.875,There must be at least one of each color,There must be exactly one blue of any size,d,c,0,1,,0,0,,0,0,,1,0,,0,0
109,uR94z,Zeta,there is a red,"[True, True, True, True, False, False, False, False]",0.625,1,There must not be any blues at all,There must be at least one red.,d,c,0,1,,0,0,,0,0,,1,0,,0,0
110,x0d4k,Omega,all are blue OR small,"[False, True, True, True, False, True, True, False]",0.625,0.625,There must be at least one blue cone of any size.,There must be a least one blue cone present of any size.,d,d,0,0,,0,0,,0,0,,1,1,,0,0
111,x0d4k,Kappa,at least one is blue AND small,"[True, True, True, True, False, False, False, False]",1,1,There must be a least one small blue cone present.,There must be a least one small blue cone present.,c,c,1,1,,0,0,,0,0,,0,0,,0,0
112,x0d4k,Iota,one is blue,"[True, True, False, False, False, False, False, False]",0.75,0.75,There must be only one medium size cone present.,There must be only one blue cone of any size present.,d,c,0,1,,0,0,,0,0,,1,0,,0,0
113,x0d4k,Upsilon,none are upright,"[True, True, True, True, False, False, False, False]",0.625,1,There must be blue cones on their side.,There can't be any cones pointing up.,o,c,0,1,,0,0,,1,0,,0,0,,0,0
114,x0d4k,Zeta,there is a red,"[True, True, True, True, False, False, False, False]",1,1,There must be a red cone present.,There must be a red cone present.,c,c,1,1,,0,0,,0,0,,0,0,,0,0
115,Ft3Te,Omega,all are blue OR small,"[True, False, True, True, False, False, False, False]",0.5,0.875,There are 1 or 2 small green triangles and only small ones.,There must be at least one small triangle and there cannot be a medium or large read triangle.,d,d,0,0,,0,0,,0,0,,1,1,,0,0
116,Ft3Te,Kappa,at least one is blue AND small,"[True, True, True, True, False, False, False, False]",0.875,1,there are at least 2 blue triangles.,There is at least one small blue triangle,d,c,0,1,,0,0,,0,0,,1,0,,0,0
117,Ft3Te,Iota,one is blue,"[True, True, True, True, False, False, False, False]",0.625,1,There is at least one blue triangle,There is 1 but only 1 blue triangle.,u,c,0,1,,1,0,,0,0,,0,0,,0,0
118,Ft3Te,Upsilon,none are upright,"[True, False, True, False, True, False, False, False]",0.75,0.625,There are 2 red triangles of the same size touching.,There are 2 triangles of the same color touching on their outside lines.,d,d,0,0,,0,0,,0,0,,1,1,,0,0
119,Ft3Te,Zeta,there is a red,"[True, True, True, True, False, False, False, False]",1,1,There is at least 1 read triangle,There is at least one red triangle.,c,c,1,1,,0,0,,0,0,,0,0,,0,0
120,H1cpa,Omega,all are blue OR small,"[False, False, False, True, False, False, False, False]",0.375,0.625,I only had one that was correct.   I didn't get a sense of what made it Omega.  It would be helpful as we got one wrong to see why it was wrong.  This would have been so helpful in designing our arrangements.,"I only got one correct.  At the beginning of the reading, it gave us gamma etc; however, there was not one for omega.  It's just a wild guess.",n,n,0,0,,0,0,,0,0,,0,0,,1,1
121,H1cpa,Kappa,at least one is blue AND small,"[False, False, False, True, False, False, False, False]",0.625,0.625,I saw this one had cones inside the other and there was one more cone in this group.,"It seemed when I had each cone touch the other one, it was an arrangement.",n,n,0,0,,0,0,,0,0,,0,0,,1,1
