,room,token_id,rule_name,rule_description,prior,posterior,prior_accuracy,posterior_accuracy,prior_feedback,posterior_feedback,label_init,label_rev,,init_c,rev_c,,init_u,rev_u,,init_o,rev_o,,d_init,d_rev,,n_init,n_rev,
39,zOFxssGifq,VpvPjmHNp4f3c7RjAAAZ,Upsilon,none are upright,"[True, True, True, True, True, True, False, True]","[True, True, True, True, False, True, False, True]",0.625,0.75,There must be a red cone of any size on its side in any position,"There must be a red cone of any size on its side in any position, but there also can not be any upright red cones.",d,o,,0,0,,0,0,,0,1,,1,0,,0,0,
40,9FM5oWrm4Q,OmBy4yvY2pfWQmDgAAAK,Upsilon,none are upright,"[True, True, True, True, False, False, False, False]","[True, True, True, True, False, False, False, False]",1,1,None of the cones can be sitting upright.,None of the cones can be sitting upright.,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,
41,9FM5oWrm4Q,OmBy4yvY2pfWQmDgAAAK,Omega,all are blue OR small,"[False, False, False, False, False, True, False, False]","[False, False, False, False, False, True, False, False]",0.375,0.375,There has to be one blue cone and two green cones. The green cones have to be small. One of the green cones has to touch the blue cone.,There has to be one blue cone and two green ones. The green ones have to be small.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
42,9FM5oWrm4Q,OmBy4yvY2pfWQmDgAAAK,Iota,one is blue,"[True, True, True, False, False, False, True, False]","[True, True, True, False, False, False, True, False]",0.75,0.75,There has to be at least one of each color.,There has to be at least one of each color.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
43,9FM5oWrm4Q,OmBy4yvY2pfWQmDgAAAK,Kappa,at least one is blue AND small,"[False, False, False, False, False, True, False, True]","[False, True, False, True, False, False, False, False]",0.25,0.75,I can't think of a rule.,Blue must be the smallest.,n,d,,0,0,,0,0,,0,0,,0,1,,1,0,
44,9FM5oWrm4Q,OmBy4yvY2pfWQmDgAAAK,Zeta,there is a red,"[False, False, False, False, False, False, True, True]","[True, True, True, False, False, False, False, False]",0.25,0.875,A green cone but be covering another cone.,There must be at least one green and a red cone present.,d,o,,0,0,,0,0,,0,1,,1,0,,0,0,
45,9FM5oWrm4Q,qqrRkUjR9e24cK98AAAJ,Upsilon,none are upright,"[True, False, False, False, False, False, False, False]","[False, False, False, False, True, False, False, True]",0.625,0.25,The red cone in size and stacked on each other plus blue cone on side far away from red conea.,Looking at his configurations he got some to emit radiation.  Large red cones next to each other with green or blue smaller cones nearby but not touching.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
46,9FM5oWrm4Q,qqrRkUjR9e24cK98AAAJ,Omega,all are blue OR small,"[False, False, False, True, False, False, True, False]","[False, False, True, False, False, False, False, False]",0.5,0.625,I mainly believe large blue cones with small green and red cones will emit radiation ,I believe all large blue cones with green cones of smaller size will emit and deals small red cones near by will too.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
47,9FM5oWrm4Q,qqrRkUjR9e24cK98AAAJ,Iota,one is blue,"[True, False, False, False, True, False, False, False]","[False, False, False, False, False, False, False, True]",0.5,0.375,large red cone with any other color smaller cone will emit.,Large red cone with smaller cones of different colors arranged any which way.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
48,9FM5oWrm4Q,qqrRkUjR9e24cK98AAAJ,Kappa,at least one is blue AND small,"[True, True, True, True, False, False, False, False]","[False, False, False, True, False, False, False, False]",1,0.625,Small blue cone with any other size and color cone,can not think of anymore,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,
49,9FM5oWrm4Q,qqrRkUjR9e24cK98AAAJ,Zeta,there is a red,"[True, True, True, False, False, False, False, False]","[False, False, True, False, False, False, False, False]",0.875,0.625,Any red and green cone sized cones will emit along with midsized blue cone with any color and size cones like red and green,can't think of anymore,o,o,,0,0,,0,0,,1,1,,0,0,,0,0,
50,n816L8nJZL,S1Rl8ZLjGuV9clZWAAAM,Upsilon,none are upright,"[False, False, False, False, True, False, True, True]","[True, False, False, True, False, False, False, False]",0.125,0.75,There needs to be at least two large red cones.,There must be at least two large red cones.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
51,n816L8nJZL,S1Rl8ZLjGuV9clZWAAAM,Kappa,at least one is blue AND small,"[True, False, True, False, False, False, False, False]","[False, False, False, True, False, False, False, False]",0.75,0.625,There must be two blue cones.,There must be at least two blue cones.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
52,n816L8nJZL,S1Rl8ZLjGuV9clZWAAAM,Zeta,there is a red,"[True, True, False, False, False, False, False, False]","[False, False, True, False, False, False, False, False]",0.75,0.625,There must be one red cone.,There must be one medium red cone,o,o,,0,0,,0,0,,1,1,,0,0,,0,0,
53,n816L8nJZL,S1Rl8ZLjGuV9clZWAAAM,Omega,all are blue OR small,"[False, False, False, False, False, True, False, False]","[False, True, False, False, False, False, False, False]",0.375,0.625,There must be two small green cones.,I cannot think of any rule that could be true.,d,n,,0,0,,0,0,,0,0,,1,0,,0,1,
54,n816L8nJZL,S1Rl8ZLjGuV9clZWAAAM,Iota,one is blue,"[True, True, False, False, False, False, False, False]","[False, False, False, False, False, True, True, False]",0.75,0.25,I cannot think of any rule to be true.,Cannot think of any rule that would be true.,n,n,,0,0,,0,0,,0,0,,0,0,,1,1,
55,n816L8nJZL,rn_VRK5iLPgev9f8AAAN,Upsilon,none are upright,"[True, False, True, False, True, False, False, False]","[False, True, False, False, True, False, False, False]",0.625,0.5,"I think the rule that applies is that the large red cone needs to be  touching the smaller one.
Also you should know this set-op was malfunctioning, here is a screenshot: https://imgur.com/blcBxe6
I couldn't click on the game at all. 
I emailed you and got no response, no I refreshed and this is what I got. Now the game is very small, I could barely make out what it is, here is another screenshot: 
https://imgur.com/X2hd2S9",I believe  large red cone needs to be  touching the smaller one. Also there has to be another cone of a different color nearby.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
56,n816L8nJZL,rn_VRK5iLPgev9f8AAAN,Kappa,at least one is blue AND small,"[False, False, False, True, True, False, False, True]","[True, False, False, False, False, False, False, False]",0.375,0.625,I think the rule that applies is that there has to be 2 blue cones along with at least one green.,There has got to be at least one red cone in addition to one large green cone.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
57,n816L8nJZL,rn_VRK5iLPgev9f8AAAN,Zeta,there is a red,"[True, True, True, True, False, False, False, False]","[False, False, True, False, True, False, False, False]",1,0.5,"There has got to be at least one red cone, also one small cone of another color.","There has got to be at least one red BIG cone, also one small cone of another color.",o,o,,0,0,,0,0,,1,1,,0,0,,0,0,
58,n816L8nJZL,rn_VRK5iLPgev9f8AAAN,Omega,all are blue OR small,"[False, True, False, True, False, False, True, False]","[False, False, False, False, False, True, False, False]",0.625,0.375,"There has got to be at least one big blue cone, also one small cone of another color.","There has got to be at least one big blue cone, and one small cone of the same or a different color, they also must be standing.",d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
59,n816L8nJZL,rn_VRK5iLPgev9f8AAAN,Iota,one is blue,"[False, True, False, False, True, True, True, False]","[True, False, False, False, False, False, False, False]",0.25,0.625,"There has got to be at least one red cone, also one small blue cone.","There has got to be at least one red cone, also one small blue cone. Also the red cone must be large and other cones must be smaller.",d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
60,mi47ypacNU,kHHm-H0mTQUFgweSAAAP,Omega,all are blue OR small,"[False, False, False, True, False, False, False, False]","[False, False, False, True, False, False, False, False]",0.625,0.625,There must be at least one blue cone and there must not be a green cone of medium or larger,There must be at least one blue cone and no green cone can be larger than small.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
61,mi47ypacNU,kHHm-H0mTQUFgweSAAAP,Zeta,there is a red,"[True, True, True, True, False, False, False, False]","[True, True, True, True, False, False, False, False]",1,1,There must be at least one red cone,There must be at least one red cone,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,
62,mi47ypacNU,kHHm-H0mTQUFgweSAAAP,Iota,one is blue,"[True, True, True, False, True, True, True, False]","[True, True, True, False, False, False, True, False]",0.5,0.75,At least two cones of different colors must be touching,There must be a green cone.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
63,mi47ypacNU,kHHm-H0mTQUFgweSAAAP,Kappa,at least one is blue AND small,"[True, True, False, False, False, False, False, False]","[True, True, True, False, False, False, False, False]",0.75,0.875,A small cone must be in a large one of the same color,A large cone and a small cone must be touching and no other cones must be present.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
64,mi47ypacNU,kHHm-H0mTQUFgweSAAAP,Upsilon,none are upright,"[True, True, True, True, False, False, False, False]","[True, True, True, True, False, False, False, False]",1,1,No cone must be mostly upright,No cones can be facing upwards,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,
65,mi47ypacNU,6gZy2DmjWY9DADshAAAO,Omega,all are blue OR small,"[False, False, False, True, False, False, False, False]","[False, False, True, False, False, False, True, False]",0.625,0.5,Maybe there must be one medium blue cone and small cones of a different color?,I have no idea...all my ideas were disproved ,d,n,,0,0,,0,0,,0,0,,1,0,,0,1,
66,mi47ypacNU,6gZy2DmjWY9DADshAAAO,Zeta,there is a red,"[True, True, True, True, False, False, False, False]","[True, True, True, True, False, False, False, False]",1,1,There must be at least one red cone.,There must be at least one red cone.,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,
67,mi47ypacNU,6gZy2DmjWY9DADshAAAO,Iota,one is blue,"[False, False, False, True, False, False, False, False]","[False, False, False, True, False, False, False, False]",0.625,0.625,There must be at least 2 cones and there can only be one cone of each color.,There must be at least 2 cones but there cannot be more than one cone of any given color.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
68,mi47ypacNU,6gZy2DmjWY9DADshAAAO,Kappa,at least one is blue AND small,"[False, False, True, False, False, False, False, False]","[True, True, False, True, False, False, False, False]",0.625,0.875,I am honestly not sure,There must be at least one small blue cone?,n,c,,0,1,,0,0,,0,0,,0,0,,1,0,
69,mi47ypacNU,6gZy2DmjWY9DADshAAAO,Upsilon,none are upright,"[False, False, False, False, False, False, False, True]","[True, True, True, True, False, False, False, False]",0.375,1,"There must be a red cone (or cones) on the left and a blue cone (or cones) on the right, and the red cones mustn't be the same size as the blue ones.",There must be no upward facing cones.,d,c,,0,1,,0,0,,0,0,,1,0,,0,0,
70,spw4MmLRO4,JT7ZAB7dPEXbWM9KAAAF,Iota,one is blue,"[False, False, False, True, True, True, False, False]","[False, False, False, True, True, True, True, False]",0.375,0.25,If the number of blue cones outweighs the number of other colored cones.  Orientation does not matter.,"I still think my original assumption is true.  There is certainly more to it than what I said, though.",d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
71,spw4MmLRO4,JT7ZAB7dPEXbWM9KAAAF,Kappa,at least one is blue AND small,"[False, True, False, True, False, True, True, False]","[False, True, True, False, True, False, False, False]",0.5,0.625,I am not sure on this one.  The only consistency I had was the medium green and blue together.,I went with the green and blue touching each other being the cause of radiation.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
72,spw4MmLRO4,JT7ZAB7dPEXbWM9KAAAF,Upsilon,none are upright,"[False, False, True, False, False, False, False, False]","[False, False, True, False, False, False, False, False]",0.625,0.625,"Red making contact makes radiation, but any other colors present will negate it.","Red touching each other will emit, but if any other colors are present it will not.",d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
73,spw4MmLRO4,JT7ZAB7dPEXbWM9KAAAF,Omega,all are blue OR small,"[False, True, False, False, False, False, False, False]","[False, True, False, False, False, False, False, False]",0.625,0.625,Blue by itself emits radiation,"Blue alone emits radation, no other color can be present",u,u,,0,0,,1,1,,0,0,,0,0,,0,0,
74,spw4MmLRO4,JT7ZAB7dPEXbWM9KAAAF,Zeta,there is a red,"[True, True, True, True, False, False, False, False]","[True, True, True, True, False, False, False, False]",1,1,If red is present it will emit radiation,Red is present = radiation,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,
75,spw4MmLRO4,qTHpztkVBSdBm_UZAAAE,Iota,one is blue,"[True, True, True, False, False, False, True, False]","[True, True, True, True, False, False, True, False]",0.75,0.875,There must be one cone of each color.,There must be one of each color.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
76,spw4MmLRO4,qTHpztkVBSdBm_UZAAAE,Kappa,at least one is blue AND small,"[True, True, True, True, False, False, False, False]","[True, True, True, True, False, False, False, False]",1,1,There must be at least one small blue cone.,There must be at least one small blue cone.,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,
77,spw4MmLRO4,qTHpztkVBSdBm_UZAAAE,Upsilon,none are upright,"[True, False, False, True, False, True, False, True]","[False, False, True, False, False, False, False, True]",0.5,0.5,There must be a big red cone.,There must be big red cone.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
78,spw4MmLRO4,qTHpztkVBSdBm_UZAAAE,Omega,all are blue OR small,"[False, True, False, True, False, False, False, False]","[False, True, False, True, False, False, False, False]",0.75,0.75,There must be one big blue cone.,There must be one big blue cone.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
79,spw4MmLRO4,qTHpztkVBSdBm_UZAAAE,Zeta,there is a red,"[False, True, False, True, False, False, False, False]","[True, True, True, True, False, False, False, False]",0.75,1,There must be a big red cone.,There must be red cone.,o,c,,0,1,,0,0,,1,0,,0,0,,0,0,
80,fMxwrGzBgz,J2g8DxowwOB-gkR8AAAM,Kappa,at least one is blue AND small,"[True, True, True, True, False, False, False, False]","[True, True, True, True, False, False, False, False]",1,1,There must be more than one blue cone in the arrangement.,There must be at least two blue cones in the arrangement.,u,d,,0,0,,1,0,,0,0,,0,1,,0,0,
81,fMxwrGzBgz,J2g8DxowwOB-gkR8AAAM,Iota,one is blue,"[False, True, False, False, False, False, False, False]","[False, True, True, False, False, False, False, False]",0.625,0.75,"There must be an equal number of red and blue cones and if there are more than one of each, they must face the same direction.",There must be blue and red cones but the cones can only be in different directions if they have a partner cone of the same color.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
82,fMxwrGzBgz,J2g8DxowwOB-gkR8AAAM,Zeta,there is a red,"[True, True, False, True, False, True, True, True]","[True, True, True, True, False, False, False, False]",0.5,1,Cones of the same color cannot face more than two different directions.,A red cone must be present in the arrangement..,d,c,,0,1,,0,0,,0,0,,1,0,,0,0,
83,fMxwrGzBgz,J2g8DxowwOB-gkR8AAAM,Omega,all are blue OR small,"[False, True, False, False, False, False, False, False]","[False, True, False, False, False, False, False, False]",0.625,0.625,There cannot be any red cones and there cannot be more than five cones.,There cannot be any red cones.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
84,fMxwrGzBgz,J2g8DxowwOB-gkR8AAAM,Upsilon,none are upright,"[True, True, True, True, False, False, False, False]","[True, True, True, True, False, False, False, False]",1,1,No cones can be upright in this arrangement.,No cones can be upright in this arrangement.,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,
