,Unnamed: 0,Unnamed: 0.1,room,token_id,rule_name,rule_description,prior_accuracy,posterior_accuracy,prior_feedback,posterior_feedback,code_init,code_rev,,init_c,rev_c,,init_u,rev_u,,init_o,rev_o,,d_init,d_rev,,n_init,n_rev,,,,,,
12,12,16,vrJh5,Sx5A2_s1FPDoUsTLAAAT,Zeta,there is a red,1,1,Must contain a red triangle.,Must contain a red triangle,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,,,,,,
13,13,18,vrJh5,Sx5A2_s1FPDoUsTLAAAT,Kappa,at least one is blue AND small,0.5,0.625,Must contain at least 4 triangles. Must have one stack. ,Must have at least 4 triangles. Must have one stack. ,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
14,14,20,OWxuM,3ioMahe1PAlAZAq3AAAo,Zeta,there is a red,1,1,There must be at least one red cone.,There must be at least 1 red cone.,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,,,,,,
15,15,21,OWxuM,3ioMahe1PAlAZAq3AAAo,Kappa,at least one is blue AND small,0.25,0.25,There must be 3 green cones. ,There must be 3 green cones. ,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
16,16,24,OWxuM,3ioMahe1PAlAZAq3AAAo,Iota,one is blue,0.625,1,There is exactly one blue cone.,There is exactly one blue cone.,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,,,,,,
17,17,25,OWxuM,QfKnfyfq6JquRFv-AAAn,Zeta,there is a red,1,1,Zeta waves are created when there is any number of red cones.,There needs to be at least one red cone of any size.,o,c,,0,1,,0,0,,1,0,,0,0,,0,0,,,,,,
18,18,26,OWxuM,QfKnfyfq6JquRFv-AAAn,Kappa,at least one is blue AND small,0.375,0.375,There must be more green cones than red cones to make this wave. There must be at least one blue cone.,"There must be more green cones than red cones, and at least one green cone.",d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
19,19,29,OWxuM,QfKnfyfq6JquRFv-AAAn,Iota,one is blue,0.625,0.625,There must be a blue cone.,There must be at least one blue cone.,u,u,,0,0,,1,1,,0,0,,0,0,,0,0,,,,,,
20,20,30,nC7AS,frTISZa6hmSHzqZ5AAAR,Upsilon,none are upright,0.875,0.875,Any sized cone resting its side on any other cone.,Any code resting its side on any other cones side.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
21,21,32,nC7AS,frTISZa6hmSHzqZ5AAAR,Iota,one is blue,0.25,0.25,"Any blue cone resting on any red cone, or any red cone resting on any blue cone.","Any blue cone resting on any red cone, or any red cone resting on any blue cone.",d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
22,22,35,nC7AS,Bnn_5BwOU-b2u3nNAAAQ,Upsilon,none are upright,1,0.875,There must be at least 3 cones turned on their sides.,At least 3 cones need to be turned on their sides,o,o,,0,0,,0,0,,1,1,,0,0,,0,0,,,,,,
23,23,37,nC7AS,Bnn_5BwOU-b2u3nNAAAQ,Iota,one is blue,0.375,0.375,There must be at least one tall cone. There must be at least 2 different colors,"There must be at least 1 tall cone, there must be at least 2 different colors",d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
24,24,40,ZdXQZ,tcpjkowfzbo-RzgvAAAp,Kappa,at least one is blue AND small,1,1,There must be at least one small blue cone,There must be at least one small blue cone,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,,,,,,
25,25,42,ZdXQZ,tcpjkowfzbo-RzgvAAAp,Iota,one is blue,0.75,0.75,There must be one of each color cone,There must be at least one of each color cone,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
26,26,45,ZdXQZ,sIBlk-qFcNY4fsGyAAAq,Kappa,at least one is blue AND small,0.375,0.5,Must have two small and two medium triangles.,Must have two small and two medium triangles.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
27,27,47,ZdXQZ,sIBlk-qFcNY4fsGyAAAq,Iota,one is blue,0.75,0.75,Must have one of each color.,Must have one of each color,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
28,28,53,zUM7d,LBEcjjqzWFjFJ2UzAAA3,Omega,all are blue OR small,0.75,0.75,the blue cones should be larger than the other cones and should be present,blue cones should be present and are the larger of all the other cones,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
29,29,58,zUM7d,4gdK7_T_qCWuODBvAAA2,Omega,all are blue OR small,0.75,0.75,When there is a blue cone that is the largest one when there are two or less colors.,When there is a blue cone that is the largest one when there are two or less colors.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
30,30,60,0LZMn,ZDHBoIsVsfDX9Vf2AAA_,Upsilon,none are upright,1,1,A scene emits radiation if there are no shapes standing straight up. ,There must not be any shapes standing straight up. ,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,,,,,,
31,31,62,0LZMn,ZDHBoIsVsfDX9Vf2AAA_,Iota,one is blue,0.375,0.375,There must be at least one of each color and if there is multiple none can be standing straight up. ,"There must be at least one of each color and if there are multiple, none can be standing straight up. ",d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
32,32,63,0LZMn,ZDHBoIsVsfDX9Vf2AAA_,Kappa,at least one is blue AND small,1,1,There must be at least one small blue triangle. ,The must be at least one small blue triangle. ,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,,,,,,
33,33,65,0LZMn,oim2MThVnPjmiu2OAABB,Upsilon,none are upright,1,1,"There must be at least one cone of any size, shape, or color turned on its side in either direction. There must not be a cone of any size, shape, or color standing up. ",#NAME?,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,,,,,,
34,34,67,0LZMn,oim2MThVnPjmiu2OAABB,Iota,one is blue,0.625,0.625,#NAME?,#NAME?,n,n,,0,0,,0,0,,0,0,,0,0,,1,1,,,,,,
35,35,68,0LZMn,oim2MThVnPjmiu2OAABB,Kappa,at least one is blue AND small,0.375,0.5,#NAME?,#NAME?,n,n,,0,0,,0,0,,0,0,,0,0,,1,1,,,,,,
36,36,70,qTF57,aY3043wGsEt2gN1KAABI,Iota,one is blue,0.625,0.625,There needs to be a blue triangle.,There must be at least one blue triangle,u,u,,0,0,,1,1,,0,0,,0,0,,0,0,,,,,,
37,37,72,qTF57,aY3043wGsEt2gN1KAABI,Omega,all are blue OR small,0.375,0.375,There need to be two small triangles,There needs to be two small triangles,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
38,38,74,qTF57,aY3043wGsEt2gN1KAABI,Upsilon,none are upright,0.625,0.625,There needs o be a triangle on its side.,There needs to be a triangle on its side,u,u,,0,0,,1,1,,0,0,,0,0,,0,0,,,,,,
39,39,75,qTF57,A-8J0T6shEk5TGpmAABH,Iota,one is blue,0.625,0.625,There must be at least 1 blue cone in order for the scene to emit lota waves.,There must be at least 1 blue cone in order for a scene to emit lota waves.,u,u,,0,0,,1,1,,0,0,,0,0,,0,0,,,,,,
40,40,77,qTF57,A-8J0T6shEk5TGpmAABH,Omega,all are blue OR small,0.75,0.625,There must be no more than 2 colors of cones in the scene.,There must be no more than 2 colors of cones in the scene.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
41,41,79,qTF57,A-8J0T6shEk5TGpmAABH,Upsilon,none are upright,0.5,0.5,There must be at least 1 large cone of any color and no small red cone.,There must be at least 1 large cone of any color and no small red cone.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
42,42,80,GBOn7umXUg,Kh5yAD9GF2sgDjsMAAAz,Omega,all are blue OR small,0.625,0.375,If a blue cone is larger than a green cone.,The blue cone is largest,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
43,43,81,GBOn7umXUg,Kh5yAD9GF2sgDjsMAAAz,Iota,one is blue,0.75,0.375,There is at least one cone of each color.,There are at least one green cone and one red cone.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
44,44,84,GBOn7umXUg,Kh5yAD9GF2sgDjsMAAAz,Upsilon,none are upright,0.625,0.625,There are two red cones touching each other and pointed the same direction.,There are at least two red cones touching.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
45,45,85,GBOn7umXUg,KQ-7jJWvGKznfX5_AAA0,Omega,all are blue OR small,0.75,0.75,There is at least one blue object larger than the others and not touching any other objects,One cone is larger than the others.   Two cones of the same color are not touching.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
46,46,86,GBOn7umXUg,KQ-7jJWvGKznfX5_AAA0,Iota,one is blue,0.375,0.375,two objects of the same size are touching,two objects of the same size touch,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
47,47,89,GBOn7umXUg,KQ-7jJWvGKznfX5_AAA0,Upsilon,none are upright,0.625,0.625,all object must be non-upright with at least 2 touching,all object must be non-upright with at least 2 touching,o,o,,0,0,,0,0,,1,1,,0,0,,0,0,,,,,,
48,48,92,icyDISSxvx,HpCrlrwyq5c78M6AAAA6,Zeta,there is a red,0.375,0.375,A smaller one must be on a larger one,A smaller one must be on a larger one.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
49,49,94,icyDISSxvx,HpCrlrwyq5c78M6AAAA6,Iota,one is blue,0.625,0.625,One must be blue,One must be blue,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,,,,,,
50,50,97,icyDISSxvx,oTUrOgUqTmm9QfYDAAA5,Zeta,there is a red,1,1,There must be at least one red cone.,There must be at least one red cone.,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,,,,,,
51,51,99,icyDISSxvx,oTUrOgUqTmm9QfYDAAA5,Iota,one is blue,0.75,1,There must be present exactly one blue cone.,There must be present exactly one blue cone.,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,,,,,,
52,52,102,JP0CgbU9FF,TRuAF7RKTQPzKSt2AABd,Zeta,there is a red,1,0.75,Three different colors. All small or medium.,Four on the ground. One sideways.,n,n,,0,0,,0,0,,0,0,,0,0,,1,1,,,,,,
53,53,103,JP0CgbU9FF,TRuAF7RKTQPzKSt2AABd,Omega,all are blue OR small,0.5,0.75,Two of the same color. One of the other. Single color on right.,There were three. Two small. One medium or large.,n,n,,0,0,,0,0,,0,0,,0,0,,1,1,,,,,,
54,54,107,JP0CgbU9FF,eTezpoT_HJz9VdgvAABe,Zeta,there is a red,0.25,0.375,Two different cones need to touch,Two different cones need to touch.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
55,55,108,JP0CgbU9FF,eTezpoT_HJz9VdgvAABe,Omega,all are blue OR small,0.625,0.625,two cones to touch,two cones to touch,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
56,56,111,Rsvo0qz0zz,dIh8Lu5FzoCT50EUAAAE,Zeta,there is a red,0.625,0.625,I believe that as long as there is more than one cone radiation will be emitted.,I continue to believe that as long as more than one cone is present radiation will be emitted,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
57,57,112,Rsvo0qz0zz,dIh8Lu5FzoCT50EUAAAE,Omega,all are blue OR small,0.375,0.25,I can not think of a rule for this condition to be true,I can not think of what the rule is for this situation,n,n,,0,0,,0,0,,0,0,,0,0,,1,1,,,,,,
58,58,114,Rsvo0qz0zz,dIh8Lu5FzoCT50EUAAAE,Upsilon,none are upright,0.75,0.5,I believe when two cones are touching and pointing in a non-vertical position that radiation is emitted,I think that when two cones are touching each other in a non-vertical orientation they emit radiation,o,o,,0,0,,0,0,,1,1,,0,0,,0,0,,,,,,
59,59,116,Rsvo0qz0zz,#NAME?,Zeta,there is a red,0.875,0.625,At least two triangles must be touching.,At least two triangles must be touching.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
60,60,117,Rsvo0qz0zz,#NAME?,Omega,all are blue OR small,0.375,0.375,There must be two triangles of different colors touching and at least one additional triangle.,There must be two triangles of different colors touching and at least one additional triangle.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
61,61,119,Rsvo0qz0zz,#NAME?,Upsilon,none are upright,0.75,0.75,A small triangle must be touching a larger triangle,There must be a cluster of triangles all together,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
62,62,120,oCJaqaucjp,R-K0qkUWDG80WRcIAAAG,Iota,one is blue,0.625,0.625,"There has to be at least one of each color, size doesn't matter.","There must be one of each color, size does not matter.",d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
63,63,121,oCJaqaucjp,R-K0qkUWDG80WRcIAAAG,Upsilon,none are upright,0.25,0.5,I could not find a rule. None of my trials worked out.,I still do not know what the rule could have been.,n,n,,0,0,,0,0,,0,0,,0,0,,1,1,,,,,,
64,64,124,oCJaqaucjp,R-K0qkUWDG80WRcIAAAG,Zeta,there is a red,0.875,0.75,There must be one red and one green.,There must be one red and one green.,o,o,,0,0,,0,0,,1,1,,0,0,,0,0,,,,,,
65,65,125,oCJaqaucjp,KA5-D_zR5aPJi-RyAAAH,Iota,one is blue,0.625,0.625,There must be at least one purple cone.,There must be at least one purple cone.,u,u,,0,0,,1,1,,0,0,,0,0,,0,0,,,,,,
66,66,126,oCJaqaucjp,KA5-D_zR5aPJi-RyAAAH,Upsilon,none are upright,0.75,0.75,There must be one purple cone pointing to the left.,There must be one purple cone pointing to the left.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
67,67,129,oCJaqaucjp,KA5-D_zR5aPJi-RyAAAH,Zeta,there is a red,0.75,0.75,There must be at least one red cone pointing upwards.,There must be at least one red cone facing upwards.,o,o,,0,0,,0,0,,1,1,,0,0,,0,0,,,,,,
68,68,132,hbaVUxZLvt,lcIg3IPTybbVS9FyAAAS,Iota,one is blue,0.625,0.625,Must contain at least 1 blue cone,Must contain at least one blue cone,u,u,,0,0,,1,1,,0,0,,0,0,,0,0,,,,,,
69,69,133,hbaVUxZLvt,lcIg3IPTybbVS9FyAAAS,Kappa,at least one is blue AND small,0.625,0.625,Must contain 1 blue cone,Must have 1 blue cone,u,u,,0,0,,1,1,,0,0,,0,0,,0,0,,,,,,
70,70,134,hbaVUxZLvt,lcIg3IPTybbVS9FyAAAS,Zeta,there is a red,1,1,There must be at least 1 red cone.,There must be at least 1 red cone.,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,,,,,,
71,71,137,hbaVUxZLvt,qElJ9nXF05GDxnX6AAAT,Iota,one is blue,0.625,0.75,If there is a purple triangle radiation will be emitted.,As long as there was one purple triangle radiation is emitted.,u,c,,0,1,,1,0,,0,0,,0,0,,0,0,,,,,,
72,72,138,hbaVUxZLvt,qElJ9nXF05GDxnX6AAAT,Kappa,at least one is blue AND small,0.875,0.875,When there are two purple triangles radiation is emitted.,When there are two purple triangles radiation is emitted.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
73,73,139,hbaVUxZLvt,qElJ9nXF05GDxnX6AAAT,Zeta,there is a red,1,1,There must be one red triangle to emit radiation.,There must be one red triangle to emit radiation,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,,,,,,
74,74,142,5veYwyhYkk,Wl6enmNtC8pc-47KAAAV,Kappa,at least one is blue AND small,0.75,0.75,There are at least 2 blue triangles of different sizes that do not touch each other.,There are at least 2 blue triangles of different sizes that do not touch each other.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
75,75,143,5veYwyhYkk,Wl6enmNtC8pc-47KAAAV,Upsilon,none are upright,0.875,0.875,at least two triangles touch each other and neither is standing straight up.,at least 2 triangles touch each other and neither are standing straight up.,o,o,,0,0,,0,0,,1,1,,0,0,,0,0,,,,,,
76,76,147,5veYwyhYkk,VHELOrTF2QcME3ATAAAU,Kappa,at least one is blue AND small,0.75,0.625,There should be all colors. ,There should be each color. ,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
77,77,148,5veYwyhYkk,VHELOrTF2QcME3ATAAAU,Upsilon,none are upright,0.25,1,I cannot think of a rule. ,I cannot think of a rule. ,n,n,,0,0,,0,0,,0,0,,0,0,,1,1,,,,,,
78,78,151,dExckpP5o5,OTeHWPov9yZkcbEZAAAB,Zeta,there is a red,1,1,there must be at least one red triangle ,there must be at least one red triangle ,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,,,,,,
79,79,153,dExckpP5o5,OTeHWPov9yZkcbEZAAAB,Omega,all are blue OR small,0.375,0.25,there must be at least one green triangle touching blue one,there must be one green triangle should touch blue triangle,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
80,80,154,dExckpP5o5,OTeHWPov9yZkcbEZAAAB,Kappa,at least one is blue AND small,1,1,there must be at least one small blue triangle,there must be at least one blue triangle,c,u,,1,0,,0,1,,0,0,,0,0,,0,0,,,,,,
81,81,156,dExckpP5o5,qeg7II_OavRp_YREAAAC,Zeta,there is a red,0.5,0.5,they must be same size,they must be same size,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
82,82,158,dExckpP5o5,qeg7II_OavRp_YREAAAC,Omega,all are blue OR small,0.625,0.375,all should be small,all should be small,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
83,83,159,dExckpP5o5,qeg7II_OavRp_YREAAAC,Kappa,at least one is blue AND small,0.375,0.625,there must be one big cone,there must be one big cone,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
84,84,160,j4HNgt8UJB,_VLMW5LVhR2OMJrCAAAA,Iota,one is blue,0.5,0.625,"Blue and red cones emit radiation.
",Red and blue cones emits radiation,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
85,85,161,j4HNgt8UJB,_VLMW5LVhR2OMJrCAAAA,Zeta,there is a red,1,1,Blue and red emits radiation,red and blue emits radiation,u,u,,0,0,,1,1,,0,0,,0,0,,0,0,,,,,,
86,86,162,j4HNgt8UJB,_VLMW5LVhR2OMJrCAAAA,Upsilon,none are upright,0.375,0.375,2 red and a blue emits radiation,two reds and green emits,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
87,87,165,j4HNgt8UJB,WdLNeP_9tn_MXo3MAAAB,Iota,one is blue,0.75,0.75,There are at least one green and one blue triangles.,There are at least one green and one blue triangles.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
88,88,166,j4HNgt8UJB,WdLNeP_9tn_MXo3MAAAB,Zeta,there is a red,1,1,There is at least one red triangle.,There is at least one red triangle.,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,,,,,,
89,89,167,j4HNgt8UJB,WdLNeP_9tn_MXo3MAAAB,Upsilon,none are upright,0.625,0.625,There are two large triangles.,There are two large triangles,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
90,90,173,RLWUHB7DXT,T_VtQzEX9IiJR_g7AAAJ,Kappa,at least one is blue AND small,0.875,1,There must be at least 2 blue cones,There must be at least 2 blue cones,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
91,91,174,RLWUHB7DXT,T_VtQzEX9IiJR_g7AAAJ,Omega,all are blue OR small,0.875,0.875,There must be at least one or two blue cones.,There must be at least one or two blue cones.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
92,92,178,RLWUHB7DXT,I0-0Id8uYOu7Ns8JAAAI,Kappa,at least one is blue AND small,1,1,There must be at least one small blue object.,There must be at least one small blue object.,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,,,,,,
93,93,179,RLWUHB7DXT,I0-0Id8uYOu7Ns8JAAAI,Omega,all are blue OR small,0.625,0.625,There must be a least one small object present of any color.,There must be a least one small object present of any color.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
94,94,180,AwdRcTd822,d1YjSFSBFrki-S5PAAAO,Iota,one is blue,0.5,0.5,There has to be at least one blue triangle,There has to be at least one blue triangle,u,u,,0,0,,1,1,,0,0,,0,0,,0,0,,,,,,
95,95,181,AwdRcTd822,d1YjSFSBFrki-S5PAAAO,Upsilon,none are upright,0.75,0.75,Two red triangles on its side,There should be at least two red triangles not upright,o,o,,0,0,,0,0,,1,1,,0,0,,0,0,,,,,,
96,96,184,AwdRcTd822,d1YjSFSBFrki-S5PAAAO,Zeta,there is a red,1,1,There has to be at least one red triangle,There has to be at least one red triangle,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,,,,,,
97,97,185,AwdRcTd822,YrnNZfisZ2wBBI29AAAN,Iota,one is blue,0.75,0.75,"There must be at least one blue, red and green of any size and in any position. ","There must be at least one of each color blue, red and green. They can be any size and in any postion. ",d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
98,98,186,AwdRcTd822,YrnNZfisZ2wBBI29AAAN,Upsilon,none are upright,0.375,0.625,I can't think of a rule that is true for this one. Maybe that two of the same color big objects are touching and there is a smaller different colored object off to the side. ,I really don't know of any rule on this one. ,n,n,,0,0,,0,0,,0,0,,0,0,,1,1,,,,,,
99,99,189,AwdRcTd822,YrnNZfisZ2wBBI29AAAN,Zeta,there is a red,1,1,there must be at least one red piece with any other combination of colors and sizes,there must be a red piece present with any other combination of colors and sizes. ,o,o,,0,0,,0,0,,1,1,,0,0,,0,0,,,,,,
100,100,191,tyKsvKn65x,r5Nceq8NRwxS-O_FAAAS,Iota,one is blue,0.625,0.625,No cones of the same color,Must not include repeated colors,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
101,101,194,tyKsvKn65x,r5Nceq8NRwxS-O_FAAAS,Omega,all are blue OR small,0.625,0.75,Needs a blue medium cone,Blue medium cone is needed,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
102,102,196,tyKsvKn65x,xXhmUTuLwB2U-k9cAAAT,Iota,one is blue,0.375,0.375,A cone of equal size or one size larger or smaller of the base cone must be leaning on th base cone,There must be a cone of equal size or one size larger or smaller leaning on the base cone,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
103,103,199,tyKsvKn65x,xXhmUTuLwB2U-k9cAAAT,Omega,all are blue OR small,0.75,0.75,No cones can be touching,No cones can be touching,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
,,,,,,,0.663461538,0.676682692,,,,,,17,19,0,11,11,0,9,8,0,56,55,0,11,11,0,0,0,0,0,0
